costo,qos,instancia,metodo
0.402961256,3980.232944,AMPL1,CPLEX
0.402971256,3965.914014,AMPL1,CPLEX
0.406741256,3956.292375,AMPL1,CPLEX
0.406786256,3940.290495,AMPL1,CPLEX
0.406941256,3911.031075,AMPL1,CPLEX
0.407011256,3876.237775,AMPL1,CPLEX
0.450196256,3866.332554,AMPL1,CPLEX
0.453941256,3856.815875,AMPL1,CPLEX
0.454011256,3838.950765,AMPL1,CPLEX
0.454166256,3807.025145,AMPL1,CPLEX
0.454236256,3776.656315,AMPL1,CPLEX
0.463254524,3747.448335,AMPL1,CPLEX
0.463324524,3712.655035,AMPL1,CPLEX
0.467296256,3694.576375,AMPL1,CPLEX
0.510254524,3693.233135,AMPL1,CPLEX
0.510324524,3675.368025,AMPL1,CPLEX
0.510479524,3643.442405,AMPL1,CPLEX
0.510549524,3613.073575,AMPL1,CPLEX
0.514521256,3594.994915,AMPL1,CPLEX
0.522589174,3591.021645,AMPL1,CPLEX
0.526560906,3572.942985,AMPL1,CPLEX
0.527324524,3552.448145,AMPL1,CPLEX
0.531296256,3534.369485,AMPL1,CPLEX
0.561676256,3525.782285,AMPL1,CPLEX
0.569744174,3521.809015,AMPL1,CPLEX
0.569814174,3491.440185,AMPL1,CPLEX
0.573785906,3473.361525,AMPL1,CPLEX
0.574549524,3452.866685,AMPL1,CPLEX
0.578521256,3434.788025,AMPL1,CPLEX
0.586589174,3430.814755,AMPL1,CPLEX
0.590560906,3412.736095,AMPL1,CPLEX
0.608834524,3408.61276,AMPL1,CPLEX
0.612806256,3390.5341,AMPL1,CPLEX
0.625746256,3384.997295,AMPL1,CPLEX
0.633814174,3331.233295,AMPL1,CPLEX
0.637785906,3313.154635,AMPL1,CPLEX
0.656059524,3309.0313,AMPL1,CPLEX
0.660031256,3290.95264,AMPL1,CPLEX
0.668099174,3286.97937,AMPL1,CPLEX
0.672070906,3268.90071,AMPL1,CPLEX
0.685010906,3263.363905,AMPL1,CPLEX
0.702450906,3260.31351,AMPL1,CPLEX
0.703284524,3259.24057,AMPL1,CPLEX
0.707256256,3241.16191,AMPL1,CPLEX
0.715324174,3187.39791,AMPL1,CPLEX
0.719295906,3169.31925,AMPL1,CPLEX
0.762549174,3137.60718,AMPL1,CPLEX
0.766520906,3119.52852,AMPL1,CPLEX
0.812739174,3111.0114,AMPL1,CPLEX
0.812759174,3109.75164,AMPL1,CPLEX
0.813009174,3101.80824,AMPL1,CPLEX
0.816710906,3092.93274,AMPL1,CPLEX
0.816730906,3091.67298,AMPL1,CPLEX
0.816980906,3083.72958,AMPL1,CPLEX
0.866940906,3077.01912,AMPL1,CPLEX
0.866960906,3075.75936,AMPL1,CPLEX
0.867210906,3067.81596,AMPL1,CPLEX
0.876970906,3065.65092,AMPL1,CPLEX
0.877230906,3058.83873,AMPL1,CPLEX
0.926950906,3057.6807,AMPL1,CPLEX
0.927190906,3052.12827,AMPL1,CPLEX
0.927200906,3049.7373,AMPL1,CPLEX
0.927460906,3042.92511,AMPL1,CPLEX
0.98397661,3036.11292,AMPL1,CPLEX
0.6691093059008599,5393.999729999998,AMPL1,GreedyCosto
0.6050393028610229,5534.784719999998,AMPL1,GreedyCosto
0.604814302861023,5588.527119999998,AMPL1,GreedyCosto
0.6043643028610229,5708.236319999998,AMPL1,GreedyCosto
0.5099142986290932,5812.8291199999985,AMPL1,GreedyCosto
0.5094642986290931,6013.041119999998,AMPL1,GreedyCosto
0.4592142941587448,6150.525519999997,AMPL1,GreedyCosto
0.38813499183416367,6429.063919999997,AMPL1,GreedyCosto
0.28663499034404755,7323.542119999999,AMPL1,GreedyCosto
0.19218499356269836,7380.2455199999995,AMPL1,GreedyCosto
1.0669446442779542,3036.1129200000005,AMPL1,GreddyQoS
1.641968618954277,10642.476254999998,AMPL1,RoundRobin
0.14518500262260436,7380.2455199999995,AMPL1,AE
0.15240999818205833,7045.436142999996,AMPL1,AE
0.4913800028014183,3769.631192,AMPL1,AE
0.14518499517202377,7864.661650000003,AMPL1,AE
0.15158499988079072,7317.851229999998,AMPL1,AE
0.1597250011920929,6964.228292999997,AMPL1,AE
0.14830999752640725,7327.021409999996,AMPL1,AE
0.2887000089704991,5172.951895000001,AMPL1,AE
0.2929900096261501,5100.9142249999995,AMPL1,AE
0.1556850005364418,7036.265962999999,AMPL1,AE
0.33676500736117365,4712.192752,AMPL1,AE
0.2135649968409538,6091.639242999997,AMPL1,AE
0.609651014692545,3478.3058619999997,AMPL1,AE
0.2037499989271164,6161.877739999997,AMPL1,AE
0.31618000035762783,4872.912510999999,AMPL1,AE
0.268329998241663,5403.278152999998,AMPL1,AE
0.370510001758337,4423.916153999998,AMPL1,AE
0.19643499591708183,6243.085589999996,AMPL1,AE
0.3377400056624412,4696.273114999998,AMPL1,AE
0.20762499958276748,6108.773132999997,AMPL1,AE
0.26836500196695323,5272.785723999998,AMPL1,AE
0.29678000655651093,5063.642794999999,AMPL1,AE
0.3796250088214874,4338.367432,AMPL1,AE
0.21764000122189522,5949.995073999997,AMPL1,AE
0.30808999532103537,4988.059419999999,AMPL1,AE
0.25383499967217443,5503.601452999999,AMPL1,AE
0.2580200003278255,5473.516649999999,AMPL1,AE
0.2209150035762787,5940.824893999999,AMPL1,AE
0.1997099982714653,6233.915409999999,AMPL1,AE
0.2471599966621399,5565.876239999998,AMPL1,AE
0.4995200078380108,3694.576375,AMPL1,AE
0.21683999919533728,6082.469063,AMPL1,AE
0.34391000494718554,4643.899494999999,AMPL1,AE
0.34014000801682476,4655.051234999999,AMPL1,AE
0.9264996548577785,3119.89593,AMPL1,AE
0.2003099965727329,6189.980982999996,AMPL1,AE
0.32300000336766244,4791.704660999999,AMPL1,AE
0.31089000140070916,4978.88924,AMPL1,AE
0.31904000271201133,4839.613884,AMPL1,AE
0.34465500494718554,4639.641134999999,AMPL1,AE
0.2249550042319298,5868.787223999998,AMPL1,AE
0.27240500262260436,5261.633983999998,AMPL1,AE
0.3192300027120113,4802.856400999999,AMPL1,AE
0.24996000274181365,5556.70606,AMPL1,AE
0.8049856629640102,3191.54869,AMPL1,AE
0.2469349966621399,5777.862049999996,AMPL1,AE
0.33364000500679014,4731.553301999999,AMPL1,AE
0.3768250101923942,4347.537611999999,AMPL1,AE
1.0199446533378602,3036.1129200000005,AMPL1,AE
0.251034997317791,5512.771632999997,AMPL1,AE
0.2792250019073486,5180.426133999999,AMPL1,AE
0.3808650108480453,4336.385872,AMPL1,AE
0.2898650072717667,5120.274774999999,AMPL1,AE
0.19568500336766242,6653.241569999997,AMPL1,AE
0.31213999970197676,4884.064250999999,AMPL1,AE
0.25424999967217443,5484.668389999999,AMPL1,AE
0.7302596582850457,3288.2637849999996,AMPL1,AE
0.26428999758601185,5414.429892999998,AMPL1,AE
0.49848601326203346,3713.965765,AMPL1,AE
0.2035849989271164,6180.8108029999985,AMPL1,AE
0.42300499538064,4223.68571,AMPL1,AE
0.2618949972581863,5420.4120429999975,AMPL1,AE
0.7899400086426736,3205.36297,AMPL1,AE
0.5386050086426735,3641.4268419999994,AMPL1,AE
0.31624000035762784,4848.784063999999,AMPL1,AE
0.3809250108480453,4312.257425,AMPL1,AE
0.26708999994039534,5405.259713,AMPL1,AE
0.38391500575184817,4266.329761999999,AMPL1,AE
0.2711650043213367,5263.615544,AMPL1,AE
0.6056110140368939,3489.4576019999995,AMPL1,AE
0.6609750100135803,3418.8744049999996,AMPL1,AE
0.19565999591708183,6856.626769999998,AMPL1,AE
0.8017496606096268,3203.19636,AMPL1,AE
0.9091846576591969,3138.89333,AMPL1,AE
0.43513501224875445,3911.517962,AMPL1,AE
0.2754550049769878,5191.577873999999,AMPL1,AE
0.5427050092983245,3606.1466549999996,AMPL1,AE
0.19573499591708182,6610.617779999997,AMPL1,AE
0.3837250057518482,4303.087245000001,AMPL1,AE
0.6730156619805336,3371.183015,AMPL1,AE
0.33585000736117365,4727.0889050000005,AMPL1,AE
0.8581896623381614,3169.5719299999996,AMPL1,AE
0.37682500274181363,4376.160502,AMPL1,AE
0.7474196554836273,3270.815657,AMPL1,AE
0.3880150064074993,4231.049575,AMPL1,AE
0.6107450092685223,3434.788025,AMPL1,AE
0.43108500786781306,4015.513131,AMPL1,AE
0.31212999597668645,4976.907679999998,AMPL1,AE
0.49542001090765003,3729.856562,AMPL1,AE
0.25812500032782554,5431.563782999998,AMPL1,AE
0.43108500041723247,4044.1360210000003,AMPL1,AE
0.6882150125765801,3302.1043799999998,AMPL1,AE
0.19618500336766242,6410.405029999997,AMPL1,AE
0.33305000500679016,4736.259084999999,AMPL1,AE
0.48646000756978985,3776.6563149999997,AMPL1,AE
0.43109501159310337,3922.6697019999997,AMPL1,AE
0.32333000336766243,4767.576213999999,AMPL1,AE
0.3664100011026859,4459.196340999999,AMPL1,AE
0.5928660100433826,3545.171675,AMPL1,AE
0.4230050028312206,4116.341109999999,AMPL1,AE
0.5553800132918357,3580.8014119999993,AMPL1,AE
0.6864256622487545,3360.846577,AMPL1,AE
0.9656746556624413,3063.17828,AMPL1,AE
0.59390000461936,3525.7822850000002,AMPL1,AE
0.4310950041425228,4001.391412,AMPL1,AE
0.3271000002980232,4756.424473999999,AMPL1,AE
0.3623599967217445,4563.191509999999,AMPL1,AE
0.31494000578165054,4874.894071000001,AMPL1,AE
0.5467450062286854,3594.9949149999998,AMPL1,AE
0.48229000318884846,3870.928222,AMPL1,AE
0.8107456639474869,3181.89645,AMPL1,AE
0.6609760100135803,3393.234945,AMPL1,AE
0.4943860126063824,3749.2459519999998,AMPL1,AE
0.7802306590301037,3253.522895,AMPL1,AE
0.6187446643051148,3423.8878349999995,AMPL1,AE
0.4270449997615814,4055.287761,AMPL1,AE
0.563520003427267,3562.992375,AMPL1,AE
0.370450001758337,4448.044600999999,AMPL1,AE
0.3661850011026859,4537.918051,AMPL1,AE
0.6008756613546848,3515.8337019999994,AMPL1,AE
0.6875196568247318,3329.52614,AMPL1,AE
0.43519501224875445,3887.389515,AMPL1,AE
0.19593500336766242,6494.431329999997,AMPL1,AE
0.129755776,7380.24552,AMPL1,ParetoDeReferencia
0.14979548,7174.631113,AMPL1,ParetoDeReferencia
0.155685,7036.265963,AMPL1,ParetoDeReferencia
0.159725,6964.228293,AMPL1,ParetoDeReferencia
0.180005776,6890.04326,AMPL1,ParetoDeReferencia
0.180030776,6855.34868,AMPL1,ParetoDeReferencia
0.180055776,6828.47633,AMPL1,ParetoDeReferencia
0.180255776,6653.24157,AMPL1,ParetoDeReferencia
0.180280776,6618.54699,AMPL1,ParetoDeReferencia
0.180505776,6494.43133,AMPL1,ParetoDeReferencia
0.180755776,6410.40503,AMPL1,ParetoDeReferencia
0.181005776,6339.81087,AMPL1,ParetoDeReferencia
0.185105776,6304.530683,AMPL1,ParetoDeReferencia
0.19621,6294.23632,AMPL1,ParetoDeReferencia
0.21502548,6079.190044,AMPL1,ParetoDeReferencia
0.217615,5987.644074,AMPL1,ParetoDeReferencia
0.21764,5949.995074,AMPL1,ParetoDeReferencia
0.220915,5940.824894,AMPL1,ParetoDeReferencia
0.22493,5906.436224,AMPL1,ParetoDeReferencia
0.224955,5868.787224,AMPL1,ParetoDeReferencia
0.231505776,5839.98345,AMPL1,ParetoDeReferencia
0.23279332,5808.0518,AMPL1,ParetoDeReferencia
0.23281832,5739.04555,AMPL1,ParetoDeReferencia
0.23304332,5687.89482,AMPL1,ParetoDeReferencia
0.23306832,5607.85679,AMPL1,ParetoDeReferencia
0.23329332,5556.70606,AMPL1,ParetoDeReferencia
0.24510048,5420.412043,AMPL1,ParetoDeReferencia
0.25835548,5322.070303,AMPL1,ParetoDeReferencia
0.26220548,5320.376134,AMPL1,ParetoDeReferencia
0.26240548,5218.075134,AMPL1,ParetoDeReferencia
0.26243048,5180.426134,AMPL1,ParetoDeReferencia
0.276896256,5155.473693,AMPL1,ParetoDeReferencia
0.27976548,5149.851985,AMPL1,ParetoDeReferencia
0.27993548,5138.940795,AMPL1,ParetoDeReferencia
0.27996048,5101.291795,AMPL1,ParetoDeReferencia
0.27998548,5063.642795,AMPL1,ParetoDeReferencia
0.29397332,5049.4834,AMPL1,ParetoDeReferencia
0.29416332,5029.09824,AMPL1,ParetoDeReferencia
0.29422332,4978.88924,AMPL1,ParetoDeReferencia
0.29802332,4945.488231,AMPL1,ParetoDeReferencia
0.29820332,4909.687371,AMPL1,ParetoDeReferencia
0.29827332,4874.894071,AMPL1,ParetoDeReferencia
0.30625548,4860.419643,AMPL1,ParetoDeReferencia
0.30988048,4836.766074,AMPL1,ParetoDeReferencia
0.31008048,4820.477194,AMPL1,ParetoDeReferencia
0.31023548,4791.217774,AMPL1,ParetoDeReferencia
0.31030548,4756.424474,AMPL1,ParetoDeReferencia
0.32307548,4733.575734,AMPL1,ParetoDeReferencia
0.32684548,4723.954095,AMPL1,ParetoDeReferencia
0.32709048,4681.548495,AMPL1,ParetoDeReferencia
0.32711548,4643.899495,AMPL1,ParetoDeReferencia
0.32786048,4639.641135,AMPL1,ParetoDeReferencia
0.342101256,4624.750224,AMPL1,ParetoDeReferencia
0.34565332,4610.682711,AMPL1,ParetoDeReferencia
0.34572332,4575.889411,AMPL1,ParetoDeReferencia
0.353305776,4541.20902,AMPL1,ParetoDeReferencia
0.35370548,4516.759583,AMPL1,ParetoDeReferencia
0.357105776,4507.808011,AMPL1,ParetoDeReferencia
0.357285776,4472.007151,AMPL1,ParetoDeReferencia
0.357345776,4451.532781,AMPL1,ParetoDeReferencia
0.357355776,4437.213851,AMPL1,ParetoDeReferencia
0.35775548,4412.764414,AMPL1,ParetoDeReferencia
0.361325776,4382.330912,AMPL1,ParetoDeReferencia
0.361395776,4347.537612,AMPL1,ParetoDeReferencia
0.36295832,4338.367432,AMPL1,ParetoDeReferencia
0.365435776,4336.385872,AMPL1,ParetoDeReferencia
0.365495776,4312.257425,AMPL1,ParetoDeReferencia
0.369535776,4301.105685,AMPL1,ParetoDeReferencia
0.37472048,4299.952435,AMPL1,ParetoDeReferencia
0.37476548,4283.950555,AMPL1,ParetoDeReferencia
0.37492048,4254.691135,AMPL1,ParetoDeReferencia
0.37499048,4219.897835,AMPL1,ParetoDeReferencia
0.390679096,4213.952101,AMPL1,ParetoDeReferencia
0.390689096,4199.633171,AMPL1,ParetoDeReferencia
0.390869096,4163.832311,AMPL1,ParetoDeReferencia
0.390929096,4143.357941,AMPL1,ParetoDeReferencia
0.390939096,4129.039011,AMPL1,ParetoDeReferencia
0.394729096,4109.956932,AMPL1,ParetoDeReferencia
0.394909096,4074.156072,AMPL1,ParetoDeReferencia
0.394979096,4039.362772,AMPL1,ParetoDeReferencia
0.402746256,4029.966734,AMPL1,ParetoDeReferencia
0.402901256,4000.707314,AMPL1,ParetoDeReferencia
0.402961256,3980.232944,AMPL1,ParetoDeReferencia
0.402971256,3965.914014,AMPL1,ParetoDeReferencia
0.406741256,3956.292375,AMPL1,ParetoDeReferencia
0.406786256,3940.290495,AMPL1,ParetoDeReferencia
0.406941256,3911.031075,AMPL1,ParetoDeReferencia
0.407011256,3876.237775,AMPL1,ParetoDeReferencia
0.450196256,3866.332554,AMPL1,ParetoDeReferencia
0.453941256,3856.815875,AMPL1,ParetoDeReferencia
0.454011256,3838.950765,AMPL1,ParetoDeReferencia
0.454166256,3807.025145,AMPL1,ParetoDeReferencia
0.454236256,3776.656315,AMPL1,ParetoDeReferencia
0.463254524,3747.448335,AMPL1,ParetoDeReferencia
0.463324524,3712.655035,AMPL1,ParetoDeReferencia
0.467296256,3694.576375,AMPL1,ParetoDeReferencia
0.510254524,3693.233135,AMPL1,ParetoDeReferencia
0.510324524,3675.368025,AMPL1,ParetoDeReferencia
0.510479524,3643.442405,AMPL1,ParetoDeReferencia
0.510549524,3613.073575,AMPL1,ParetoDeReferencia
0.514521256,3594.994915,AMPL1,ParetoDeReferencia
0.522589174,3591.021645,AMPL1,ParetoDeReferencia
0.526560906,3572.942985,AMPL1,ParetoDeReferencia
0.527324524,3552.448145,AMPL1,ParetoDeReferencia
0.531296256,3534.369485,AMPL1,ParetoDeReferencia
0.561676256,3525.782285,AMPL1,ParetoDeReferencia
0.569744174,3521.809015,AMPL1,ParetoDeReferencia
0.569814174,3491.440185,AMPL1,ParetoDeReferencia
0.573785906,3473.361525,AMPL1,ParetoDeReferencia
0.574549524,3452.866685,AMPL1,ParetoDeReferencia
0.578521256,3434.788025,AMPL1,ParetoDeReferencia
0.586589174,3430.814755,AMPL1,ParetoDeReferencia
0.590560906,3412.736095,AMPL1,ParetoDeReferencia
0.608834524,3408.61276,AMPL1,ParetoDeReferencia
0.612806256,3390.5341,AMPL1,ParetoDeReferencia
0.625746256,3384.997295,AMPL1,ParetoDeReferencia
0.633814174,3331.233295,AMPL1,ParetoDeReferencia
0.637785906,3313.154635,AMPL1,ParetoDeReferencia
0.656059524,3309.0313,AMPL1,ParetoDeReferencia
0.660031256,3290.95264,AMPL1,ParetoDeReferencia
0.668099174,3286.97937,AMPL1,ParetoDeReferencia
0.672070906,3268.90071,AMPL1,ParetoDeReferencia
0.685010906,3263.363905,AMPL1,ParetoDeReferencia
0.702450906,3260.31351,AMPL1,ParetoDeReferencia
0.703284524,3259.24057,AMPL1,ParetoDeReferencia
0.707256256,3241.16191,AMPL1,ParetoDeReferencia
0.715324174,3187.39791,AMPL1,ParetoDeReferencia
0.719295906,3169.31925,AMPL1,ParetoDeReferencia
0.762549174,3137.60718,AMPL1,ParetoDeReferencia
0.766520906,3119.52852,AMPL1,ParetoDeReferencia
0.812739174,3111.0114,AMPL1,ParetoDeReferencia
0.812759174,3109.75164,AMPL1,ParetoDeReferencia
0.813009174,3101.80824,AMPL1,ParetoDeReferencia
0.816710906,3092.93274,AMPL1,ParetoDeReferencia
0.816730906,3091.67298,AMPL1,ParetoDeReferencia
0.816980906,3083.72958,AMPL1,ParetoDeReferencia
0.866940906,3077.01912,AMPL1,ParetoDeReferencia
0.866960906,3075.75936,AMPL1,ParetoDeReferencia
0.867210906,3067.81596,AMPL1,ParetoDeReferencia
0.876970906,3065.65092,AMPL1,ParetoDeReferencia
0.877230906,3058.83873,AMPL1,ParetoDeReferencia
0.926950906,3057.6807,AMPL1,ParetoDeReferencia
0.927190906,3052.12827,AMPL1,ParetoDeReferencia
0.927200906,3049.7373,AMPL1,ParetoDeReferencia
0.927460906,3042.92511,AMPL1,ParetoDeReferencia
0.98397661,3036.11292,AMPL1,ParetoDeReferencia
0.14518500262260436,7380.2455199999995,AMPL1,ParetoDeReferencia
0.15240999818205833,7045.436142999996,AMPL1,ParetoDeReferencia
0.1597250011920929,6964.228292999997,AMPL1,ParetoDeReferencia
0.14830999752640725,7327.021409999996,AMPL1,ParetoDeReferencia
0.1556850005364418,7036.265962999999,AMPL1,ParetoDeReferencia
0.2135649968409538,6091.639242999997,AMPL1,ParetoDeReferencia
0.2037499989271164,6161.877739999997,AMPL1,ParetoDeReferencia
0.19643499591708183,6243.085589999996,AMPL1,ParetoDeReferencia
0.20762499958276748,6108.773132999997,AMPL1,ParetoDeReferencia
0.21764000122189522,5949.995073999997,AMPL1,ParetoDeReferencia
0.2209150035762787,5940.824893999999,AMPL1,ParetoDeReferencia
0.1997099982714653,6233.915409999999,AMPL1,ParetoDeReferencia
0.2003099965727329,6189.980982999996,AMPL1,ParetoDeReferencia
0.2249550042319298,5868.787223999998,AMPL1,ParetoDeReferencia
0.2035849989271164,6180.8108029999985,AMPL1,ParetoDeReferencia
0.21939847,45745.74238,AMPL2,CPLEX
0.21962347,45577.77409,AMPL2,CPLEX
0.21984847,45323.81969,AMPL2,CPLEX
0.22007347,45132.08026,AMPL2,CPLEX
0.22029847,44968.21973,AMPL2,CPLEX
0.22052347,44867.92653,AMPL2,CPLEX
0.22264847,44738.7483,AMPL2,CPLEX
0.22289847,44102.42386,AMPL2,CPLEX
0.22314847,43766.31866,AMPL2,CPLEX
0.22339847,43439.99128,AMPL2,CPLEX
0.22364847,43113.6639,AMPL2,CPLEX
0.22774847,42816.854758,AMPL2,CPLEX
0.24515685,42782.168151,AMPL2,CPLEX
0.24542685,42461.949751,AMPL2,CPLEX
0.27009847,42212.3855,AMPL2,CPLEX
0.27032347,42020.64607,AMPL2,CPLEX
0.27054847,41856.78554,AMPL2,CPLEX
0.27077347,41756.49234,AMPL2,CPLEX
0.27289847,41627.31411,AMPL2,CPLEX
0.27314847,40990.98967,AMPL2,CPLEX
0.27339847,40654.88447,AMPL2,CPLEX
0.27364847,40328.55709,AMPL2,CPLEX
0.27389847,40002.22971,AMPL2,CPLEX
0.27766847,39907.214653,AMPL2,CPLEX
0.27791847,39580.887273,AMPL2,CPLEX
0.28201847,39284.078131,AMPL2,CPLEX
