tipotiempo,tiempo,instancia,interacion
_solve_elapsed_time,27.184766,AMPL1,10
_solve_system_time,2.084567,AMPL1,10
_solve_user_time,30.473833,AMPL1,10
_solve_time,32.5584,AMPL1,10
_total_solve_elapsed_time,302.412349,AMPL1,10
_total_solve_system_time,21.821579,AMPL1,10
_total_solve_user_time,338.298761,AMPL1,10
_total_solve_time,360.12034,AMPL1,10
_ampl_elapsed_time,704.154968,AMPL1,11
_ampl_system_time,15.206881,AMPL1,11
_ampl_user_time,612.097219,AMPL1,11
_ampl_time,627.304113,AMPL1,11
_solve_elapsed_time,29.97863,AMPL1,11
_solve_system_time,2.140926,AMPL1,11
_solve_user_time,33.269213,AMPL1,11
_solve_time,35.410139,AMPL1,11
_total_solve_elapsed_time,332.390979,AMPL1,11
_total_solve_system_time,23.962505,AMPL1,11
_total_solve_user_time,371.567974,AMPL1,11
_total_solve_time,395.530479,AMPL1,11
_ampl_elapsed_time,774.219866,AMPL1,12
_ampl_system_time,16.439437,AMPL1,12
_ampl_user_time,672.677396,AMPL1,12
_ampl_time,689.116848,AMPL1,12
_solve_elapsed_time,31.68622,AMPL1,12
_solve_system_time,2.412453,AMPL1,12
_solve_user_time,37.446392,AMPL1,12
_solve_time,39.858845,AMPL1,12
_total_solve_elapsed_time,364.077199,AMPL1,12
_total_solve_system_time,26.374958,AMPL1,12
_total_solve_user_time,409.014366,AMPL1,12
_total_solve_time,435.389324,AMPL1,12
_ampl_elapsed_time,841.581995,AMPL1,13
_ampl_system_time,17.733071,AMPL1,13
_ampl_user_time,732.492841,AMPL1,13
_ampl_time,750.225925,AMPL1,13
_solve_elapsed_time,25.63405,AMPL1,13
_solve_system_time,2.191521,AMPL1,13
_solve_user_time,22.73334,AMPL1,13
_solve_time,24.924861,AMPL1,13
_total_solve_elapsed_time,389.711249,AMPL1,13
_total_solve_system_time,28.566479,AMPL1,13
_total_solve_user_time,431.747706,AMPL1,13
_total_solve_time,460.314185,AMPL1,13
_ampl_elapsed_time,910.863907,AMPL1,14
_ampl_system_time,19.027639,AMPL1,14
_ampl_user_time,794.082588,AMPL1,14
_ampl_time,813.110242,AMPL1,14
_solve_elapsed_time,23.993579,AMPL1,14
_solve_system_time,1.978232,AMPL1,14
_solve_user_time,21.067003,AMPL1,14
_solve_time,23.045235,AMPL1,14
_total_solve_elapsed_time,413.704828,AMPL1,14
_total_solve_system_time,30.544711,AMPL1,14
_total_solve_user_time,452.814709,AMPL1,14
_total_solve_time,483.35942,AMPL1,14
_ampl_elapsed_time,976.097003,AMPL1,15
_ampl_system_time,20.280061,AMPL1,15
_ampl_user_time,851.452958,AMPL1,15
_ampl_time,871.733033,AMPL1,15
_solve_elapsed_time,25.125949,AMPL1,15
_solve_system_time,2.019455,AMPL1,15
_solve_user_time,25.930762,AMPL1,15
_solve_time,27.950217,AMPL1,15
_total_solve_elapsed_time,438.830777,AMPL1,15
_total_solve_system_time,32.564166,AMPL1,15
_total_solve_user_time,478.745471,AMPL1,15
_total_solve_time,511.309637,AMPL1,15
_ampl_elapsed_time,1042.105563,AMPL1,16
_ampl_system_time,21.546638,AMPL1,16
_ampl_user_time,907.618842,AMPL1,16
_ampl_time,929.165497,AMPL1,16
_solve_elapsed_time,26.916883,AMPL1,16
_solve_system_time,1.988322,AMPL1,16
_solve_user_time,28.908931,AMPL1,16
_solve_time,30.897253,AMPL1,16
_total_solve_elapsed_time,465.74766,AMPL1,16
_total_solve_system_time,34.552488,AMPL1,16
_total_solve_user_time,507.654402,AMPL1,16
_total_solve_time,542.20689,AMPL1,16
_ampl_elapsed_time,1105.34526,AMPL1,17
_ampl_system_time,22.77125,AMPL1,17
_ampl_user_time,961.603416,AMPL1,17
_ampl_time,984.374666,AMPL1,17
_solve_elapsed_time,34.594051,AMPL1,17
_solve_system_time,2.091404,AMPL1,17
_solve_user_time,49.575703,AMPL1,17
_solve_time,51.667107,AMPL1,17
_total_solve_elapsed_time,500.341711,AMPL1,17
_total_solve_system_time,36.643892,AMPL1,17
_total_solve_user_time,557.230105,AMPL1,17
_total_solve_time,593.873997,AMPL1,17
_ampl_elapsed_time,1165.776128,AMPL1,18
_ampl_system_time,23.988998,AMPL1,18
_ampl_user_time,1015.772717,AMPL1,18
_ampl_time,1039.761732,AMPL1,18
_solve_elapsed_time,27.590907,AMPL1,18
_solve_system_time,2.254788,AMPL1,18
_solve_user_time,34.691375,AMPL1,18
_solve_time,36.946163,AMPL1,18
_total_solve_elapsed_time,527.932618,AMPL1,18
